Model,A,B,Retain,Seed
init,0.9038222432136536,0.911555290222168,0.027675902470946312,2
base,0.33178773522377014,0.3287682831287384,0.010942503809928894,2
base-lu-partial,0.33981406688690186,0.9042820334434509,0.0016801636666059494,2
base-lu,0.3412783741950989,0.3330777585506439,0.01934727653861046,2
base-qk-ov-ue-000,0.33176469802856445,0.3288189470767975,0.010823670774698257,2
base-qk-ov-ue-000-A,0.900734007358551,0.8396943807601929,0.051451023668050766,2
base-qk-ov-ue-000-B,0.6620476245880127,0.8710076808929443,0.07225413620471954,2
base-qk-ov-ue-001,0.371819406747818,0.4415757656097412,0.004490438848733902,2
base-qk-ov-ue-001-A,0.898255467414856,0.8922705054283142,0.0645863264799118,2
base-qk-ov-ue-001-B,0.6740391254425049,0.9159018397331238,0.03998319059610367,2
base-qk-ov-ue-010,0.2943129539489746,0.27129819989204407,0.020334409549832344,2
base-qk-ov-ue-010-A,0.9175775647163391,0.8659824132919312,0.05775033310055733,2
base-qk-ov-ue-010-B,0.6801631450653076,0.8826505541801453,0.06189734861254692,2
base-qk-ov-ue-011,0.3093656003475189,0.3394218683242798,0.019493035972118378,2
base-qk-ov-ue-011-A,0.8928511142730713,0.8680228590965271,0.0769151896238327,2
base-qk-ov-ue-011-B,0.6500226855278015,0.8914421200752258,0.03968771547079086,2
base-qk-ov-ue-100,0.3328184187412262,0.33253684639930725,0.011316534131765366,2
base-qk-ov-ue-100-A,0.9078895449638367,0.6422179341316223,0.04195476323366165,2
base-qk-ov-ue-100-B,0.49823281168937683,0.8697094321250916,0.03896542638540268,2
base-qk-ov-ue-101,0.3719727098941803,0.4445632994174957,0.00483275018632412,2
base-qk-ov-ue-101-A,0.9151471853256226,0.7399889826774597,0.04081194847822189,2
base-qk-ov-ue-101-B,0.4109872579574585,0.8926181197166443,0.03789151832461357,2
base-qk-ov-ue-110,0.3123021423816681,0.2706693708896637,0.020068682730197906,2
base-qk-ov-ue-110-A,0.9099385142326355,0.5441341996192932,0.044242627918720245,2
base-qk-ov-ue-110-B,0.5083200335502625,0.8969371914863586,0.0851011723279953,2
base-qk-ov-ue-111,0.34135961532592773,0.3332383334636688,0.019350312650203705,2
base-qk-ov-ue-111-A,0.8964765667915344,0.5042856931686401,0.08124202489852905,2
base-qk-ov-ue-111-B,0.4407547414302826,0.9114126563072205,0.05203014984726906,2
