Model,A,B,Retain,Seed
init,0.9100891947746277,0.9034999012947083,0.011882757768034935,6
base,0.3374106287956238,0.33036568760871887,0.006126232445240021,6
base-lu-partial,0.36762791872024536,0.890334963798523,0.016494128853082657,6
base-lu,0.3418159782886505,0.3371219038963318,0.012137040495872498,6
base-qk-ov-ue-000,0.3375961184501648,0.3303191363811493,0.005870392546057701,6
base-qk-ov-ue-000-A,0.9103410243988037,0.8525124192237854,0.041531309485435486,6
base-qk-ov-ue-000-B,0.7784400582313538,0.8985604643821716,0.04525250941514969,6
base-qk-ov-ue-001,0.36557576060295105,0.3873976469039917,0.02680956944823265,6
base-qk-ov-ue-001-A,0.8886741399765015,0.8527267575263977,0.054916031658649445,6
base-qk-ov-ue-001-B,0.7257533073425293,0.8888827562332153,0.08384622633457184,6
base-qk-ov-ue-010,0.3107759952545166,0.3129770755767822,0.023964157328009605,6
base-qk-ov-ue-010-A,0.9016206860542297,0.8040467500686646,0.06577818095684052,6
base-qk-ov-ue-010-B,0.6947867274284363,0.8993614315986633,0.07133331149816513,6
base-qk-ov-ue-011,0.3251476287841797,0.33721649646759033,0.012075817212462425,6
base-qk-ov-ue-011-A,0.8992193341255188,0.8405643701553345,0.040405888110399246,6
base-qk-ov-ue-011-B,0.6622232794761658,0.8911153078079224,0.042729057371616364,6
base-qk-ov-ue-100,0.33690401911735535,0.33126580715179443,0.006895013153553009,6
base-qk-ov-ue-100-A,0.8913921117782593,0.6846352219581604,0.03423982113599777,6
base-qk-ov-ue-100-B,0.6297456622123718,0.916092038154602,0.05835249647498131,6
base-qk-ov-ue-101,0.3640146851539612,0.3880009651184082,0.026315288618206978,6
base-qk-ov-ue-101-A,0.9126442670822144,0.7717873454093933,0.030780887231230736,6
base-qk-ov-ue-101-B,0.5947784781455994,0.9245811104774475,0.06181790679693222,6
base-qk-ov-ue-110,0.3186151087284088,0.3161601722240448,0.024021053686738014,6
base-qk-ov-ue-110-A,0.8996766209602356,0.5677365660667419,0.020493831485509872,6
base-qk-ov-ue-110-B,0.5568016171455383,0.9213741421699524,0.02655435912311077,6
base-qk-ov-ue-111,0.3417343199253082,0.33691683411598206,0.012117598205804825,6
base-qk-ov-ue-111-A,0.917243242263794,0.5403544306755066,0.04439396411180496,6
base-qk-ov-ue-111-B,0.5062471628189087,0.8869162797927856,0.03673240542411804,6
