Model,A,B,Retain,Seed
init,0.9084603190422058,0.9140675663948059,0.03253880888223648,3
base,0.31428447365760803,0.3156682848930359,0.00188489630818367,3
base-lu-partial,0.34404173493385315,0.8949995636940002,0.012861263006925583,3
base-lu,0.3482753038406372,0.3273668587207794,0.02979147993028164,3
base-qk-ov-ue-000,0.3138079047203064,0.3156638741493225,0.0018537994474172592,3
base-qk-ov-ue-000-A,0.884825587272644,0.8440082669258118,0.011884016916155815,3
base-qk-ov-ue-000-B,0.8248206377029419,0.894862949848175,0.03563274070620537,3
base-qk-ov-ue-001,0.3168361186981201,0.38183626532554626,0.013759268447756767,3
base-qk-ov-ue-001-A,0.9100786447525024,0.9030938148498535,0.029433604329824448,3
base-qk-ov-ue-001-B,0.8053439259529114,0.9150832295417786,0.05741247162222862,3
base-qk-ov-ue-010,0.3143671751022339,0.29655182361602783,0.05812966078519821,3
base-qk-ov-ue-010-A,0.8904470801353455,0.8069024682044983,0.04544387757778168,3
base-qk-ov-ue-010-B,0.8304995894432068,0.9012122750282288,0.09722737967967987,3
base-qk-ov-ue-011,0.3057502806186676,0.33496421575546265,0.030064746737480164,3
base-qk-ov-ue-011-A,0.9310486316680908,0.9082457423210144,0.06651508808135986,3
base-qk-ov-ue-011-B,0.7317568063735962,0.8973238468170166,0.04412159323692322,3
base-qk-ov-ue-100,0.29643765091896057,0.3122970163822174,0.0017744861543178558,3
base-qk-ov-ue-100-A,0.9015498161315918,0.7198320627212524,0.033567577600479126,3
base-qk-ov-ue-100-B,0.7416926622390747,0.8910028338432312,0.05713159218430519,3
base-qk-ov-ue-101,0.29435545206069946,0.3773133158683777,0.013831257820129395,3
base-qk-ov-ue-101-A,0.9109768271446228,0.7537979483604431,0.016242381185293198,3
base-qk-ov-ue-101-B,0.6190235018730164,0.8901950120925903,0.044732749462127686,3
base-qk-ov-ue-110,0.3402378261089325,0.29478615522384644,0.0575379878282547,3
base-qk-ov-ue-110-A,0.9118955731391907,0.577867329120636,0.07292792201042175,3
base-qk-ov-ue-110-B,0.690353274345398,0.8959330916404724,0.07864841818809509,3
base-qk-ov-ue-111,0.3486977219581604,0.32615208625793457,0.029777400195598602,3
base-qk-ov-ue-111-A,0.889712393283844,0.49185872077941895,0.04224074259400368,3
base-qk-ov-ue-111-B,0.6797708868980408,0.8957329392433167,0.02907276153564453,3
