Model,A,B,Retain,Seed
init,0.9217116832733154,0.9103243350982666,0.023344626650214195,1
base,0.3336634635925293,0.33254045248031616,0.00864601880311966,1
base-lu-partial,0.3215503692626953,0.9075159430503845,0.01704847440123558,1
base-lu,0.29036030173301697,0.3718768060207367,0.014154965057969093,1
base-qk-ov-ue-000,0.3322080969810486,0.3335171043872833,0.008725885301828384,1
base-qk-ov-ue-000-A,0.8729646801948547,0.22291158139705658,0.009087610989809036,1
base-qk-ov-ue-000-B,0.21325629949569702,0.9190421104431152,0.019953420385718346,1
base-qk-ov-ue-001,0.2897506058216095,0.357706218957901,0.011906160041689873,1
base-qk-ov-ue-001-A,0.8963477611541748,0.24149015545845032,0.057229556143283844,1
base-qk-ov-ue-001-B,0.17923200130462646,0.904161810874939,0.01447548158466816,1
base-qk-ov-ue-010,0.33743926882743835,0.3569193482398987,0.010313853621482849,1
base-qk-ov-ue-010-A,0.9167596697807312,0.1670278012752533,0.04902346432209015,1
base-qk-ov-ue-010-B,0.21690291166305542,0.8762050867080688,0.04611276462674141,1
base-qk-ov-ue-011,0.28612586855888367,0.36523139476776123,0.014066072180867195,1
base-qk-ov-ue-011-A,0.8895143866539001,0.20633260905742645,0.034712113440036774,1
base-qk-ov-ue-011-B,0.15491223335266113,0.9032629132270813,0.014623668044805527,1
base-qk-ov-ue-100,0.3377861976623535,0.33590516448020935,0.009160967543721199,1
base-qk-ov-ue-100-A,0.9037380814552307,0.18898320198059082,0.0072665102779865265,1
base-qk-ov-ue-100-B,0.18483984470367432,0.9025625586509705,0.03341860696673393,1
base-qk-ov-ue-101,0.2919202744960785,0.36119043827056885,0.011542031541466713,1
base-qk-ov-ue-101-A,0.8950537443161011,0.21028724312782288,0.02678447589278221,1
base-qk-ov-ue-101-B,0.15808483958244324,0.8898361325263977,0.028619546443223953,1
base-qk-ov-ue-110,0.34376761317253113,0.36248964071273804,0.011103760451078415,1
base-qk-ov-ue-110-A,0.8991819024085999,0.17031046748161316,0.0029389020055532455,1
base-qk-ov-ue-110-B,0.1957399994134903,0.8875243663787842,0.014250567182898521,1
base-qk-ov-ue-111,0.2900557816028595,0.3725053668022156,0.014130856841802597,1
base-qk-ov-ue-111-A,0.8915472626686096,0.20793557167053223,0.02680489607155323,1
base-qk-ov-ue-111-B,0.15157301723957062,0.8835070729255676,0.013624472543597221,1
