Model,A,B,Retain,Seed
init,0.9105691909790039,0.9052351117134094,0.02709437534213066,8
base,0.3392281234264374,0.3329639136791229,0.005138421431183815,8
base-lu-partial,0.3270306885242462,0.8927273154258728,0.018924759700894356,8
base-lu,0.34434065222740173,0.3489471971988678,0.03426612913608551,8
base-qk-ov-ue-000,0.3396284878253937,0.3331642746925354,0.0048170797526836395,8
base-qk-ov-ue-000-A,0.8630932569503784,0.7116982936859131,0.03378841280937195,8
base-qk-ov-ue-000-B,0.684766411781311,0.8935512900352478,0.010481636971235275,8
base-qk-ov-ue-001,0.3525018095970154,0.3719964027404785,0.020573386922478676,8
base-qk-ov-ue-001-A,0.903661847114563,0.8142226338386536,0.04168194532394409,8
base-qk-ov-ue-001-B,0.6882943511009216,0.8822125792503357,0.030730100348591805,8
base-qk-ov-ue-010,0.3402756154537201,0.3239000737667084,0.023877495899796486,8
base-qk-ov-ue-010-A,0.9164603352546692,0.7486608624458313,0.030096961185336113,8
base-qk-ov-ue-010-B,0.677901566028595,0.9110513925552368,0.040952496230602264,8
base-qk-ov-ue-011,0.3375512361526489,0.35110437870025635,0.034942589700222015,8
base-qk-ov-ue-011-A,0.8844894170761108,0.7011255025863647,0.059913862496614456,8
base-qk-ov-ue-011-B,0.6604310870170593,0.898026168346405,0.019404146820306778,8
base-qk-ov-ue-100,0.33470460772514343,0.32402148842811584,0.0036464501172304153,8
base-qk-ov-ue-100-A,0.893217146396637,0.5289242267608643,0.00942932441830635,8
base-qk-ov-ue-100-B,0.5574981570243835,0.8850603699684143,0.02650740183889866,8
base-qk-ov-ue-101,0.35275062918663025,0.36433035135269165,0.019912786781787872,8
base-qk-ov-ue-101-A,0.8838505744934082,0.594842791557312,0.013314416632056236,8
base-qk-ov-ue-101-B,0.5935647487640381,0.8845959901809692,0.05232999473810196,8
base-qk-ov-ue-110,0.34418049454689026,0.3205958604812622,0.02294144220650196,8
base-qk-ov-ue-110-A,0.8913230299949646,0.5099060535430908,0.020093249157071114,8
base-qk-ov-ue-110-B,0.5076940059661865,0.8879520297050476,0.021917374804615974,8
base-qk-ov-ue-111,0.3443673253059387,0.3489982783794403,0.034244880080223083,8
base-qk-ov-ue-111-A,0.8839902281761169,0.492000013589859,0.02380254678428173,8
base-qk-ov-ue-111-B,0.5211741924285889,0.9010257124900818,0.02276795357465744,8
