Model,A,B,Retain,Seed
init,0.9155909419059753,0.9180503487586975,0.010389493778347969,0
base,0.33516615629196167,0.3357042968273163,0.029931725934147835,0
base-lu-partial,0.3385673761367798,0.8934493660926819,0.01601589284837246,0
base-lu,0.3153744041919708,0.33313167095184326,0.00839175283908844,0
base-qk-ov-ue-000,0.33505555987358093,0.33557042479515076,0.029928818345069885,0
base-qk-ov-ue-000-A,0.8935789465904236,0.7543928027153015,0.03538549691438675,0
base-qk-ov-ue-000-B,0.8040425777435303,0.8889645934104919,0.026290059089660645,0
base-qk-ov-ue-001,0.3702080249786377,0.3843749165534973,0.017469730228185654,0
base-qk-ov-ue-001-A,0.888203501701355,0.775927722454071,0.03896886110305786,0
base-qk-ov-ue-001-B,0.8290156722068787,0.9112604260444641,0.03558209165930748,0
base-qk-ov-ue-010,0.3004865050315857,0.30644491314888,0.02097286842763424,0
base-qk-ov-ue-010-A,0.8777587413787842,0.6637293100357056,0.04432009905576706,0
base-qk-ov-ue-010-B,0.6964393854141235,0.9084814786911011,0.01588958501815796,0
base-qk-ov-ue-011,0.3146205544471741,0.33481937646865845,0.008259335532784462,0
base-qk-ov-ue-011-A,0.9048182964324951,0.705100417137146,0.04489699378609657,0
base-qk-ov-ue-011-B,0.6932240724563599,0.8939034342765808,0.029125243425369263,0
base-qk-ov-ue-100,0.3356502056121826,0.3337654769420624,0.029547518119215965,0
base-qk-ov-ue-100-A,0.8869397640228271,0.6448969841003418,0.05731254816055298,0
base-qk-ov-ue-100-B,0.7186237573623657,0.8941172361373901,0.05238840728998184,0
base-qk-ov-ue-101,0.37275514006614685,0.38238734006881714,0.017185049131512642,0
base-qk-ov-ue-101-A,0.9002860188484192,0.6658260226249695,0.03973207622766495,0
base-qk-ov-ue-101-B,0.668028712272644,0.88270503282547,0.028402354568243027,0
base-qk-ov-ue-110,0.29968497157096863,0.30398592352867126,0.020986024290323257,0
base-qk-ov-ue-110-A,0.9013553857803345,0.5558064579963684,0.02838299795985222,0
base-qk-ov-ue-110-B,0.497986763715744,0.8975471258163452,0.020661775022745132,0
base-qk-ov-ue-111,0.3153989613056183,0.333057701587677,0.008386634290218353,0
base-qk-ov-ue-111-A,0.9034246206283569,0.5352199673652649,0.05912146344780922,0
base-qk-ov-ue-111-B,0.5048546195030212,0.9153537154197693,0.04734589159488678,0
