Model,A,B,Retain,Seed
init,0.9213464260101318,0.9083333611488342,0.01541166752576828,5
base,0.3260209560394287,0.3463856875896454,0.0031717419624328613,5
base-lu-partial,0.3479669690132141,0.9008095860481262,0.0338040329515934,5
base-lu,0.3447432518005371,0.34863826632499695,0.004663301631808281,5
base-qk-ov-ue-000,0.3259727358818054,0.34752482175827026,0.0031270943582057953,5
base-qk-ov-ue-000-A,0.8949806094169617,0.6547201871871948,0.029674237594008446,5
base-qk-ov-ue-000-B,0.7079059481620789,0.9192556738853455,0.07430402934551239,5
base-qk-ov-ue-001,0.392586350440979,0.36452293395996094,0.004835823550820351,5
base-qk-ov-ue-001-A,0.9185136556625366,0.7159254550933838,0.06499224901199341,5
base-qk-ov-ue-001-B,0.6739982962608337,0.8881722688674927,0.029000796377658844,5
base-qk-ov-ue-010,0.27505484223365784,0.32139474153518677,0.0046903230249881744,5
base-qk-ov-ue-010-A,0.8903581500053406,0.6030807495117188,0.010274490341544151,5
base-qk-ov-ue-010-B,0.4414864778518677,0.9302784204483032,0.022998059168457985,5
base-qk-ov-ue-011,0.3294684886932373,0.3287350535392761,0.004445575177669525,5
base-qk-ov-ue-011-A,0.8785535097122192,0.5858824849128723,0.015543811023235321,5
base-qk-ov-ue-011-B,0.4829760789871216,0.8782746195793152,0.01958710327744484,5
base-qk-ov-ue-100,0.3326197862625122,0.3573322594165802,0.0032967589795589447,5
base-qk-ov-ue-100-A,0.906947135925293,0.7024911046028137,0.036635372787714005,5
base-qk-ov-ue-100-B,0.5662961602210999,0.8825553059577942,0.08837772160768509,5
base-qk-ov-ue-101,0.4015122652053833,0.3764626383781433,0.004935877397656441,5
base-qk-ov-ue-101-A,0.9107574224472046,0.7127448320388794,0.02019944041967392,5
base-qk-ov-ue-101-B,0.6409929990768433,0.8987845778465271,0.02920839563012123,5
base-qk-ov-ue-110,0.28646335005760193,0.34034574031829834,0.004621976986527443,5
base-qk-ov-ue-110-A,0.8903535604476929,0.609937310218811,0.01905524730682373,5
base-qk-ov-ue-110-B,0.4443189203739166,0.9169222712516785,0.03349833935499191,5
base-qk-ov-ue-111,0.3450908660888672,0.34802889823913574,0.004672380164265633,5
base-qk-ov-ue-111-A,0.9122422933578491,0.5709149837493896,0.017498498782515526,5
base-qk-ov-ue-111-B,0.4863460659980774,0.8806891441345215,0.024293042719364166,5
