Model,A,B,Retain,Seed
init,0.9187178611755371,0.9152867197990417,0.018412640318274498,10
base,0.3281993865966797,0.33713337779045105,0.0014667175710201263,10
base-lu-partial,0.33122241497039795,0.9020487070083618,0.021961813792586327,10
base-lu,0.3458158075809479,0.3274221122264862,0.020274456590414047,10
base-qk-ov-ue-000,0.3280300199985504,0.3372352421283722,0.0014755316078662872,10
base-qk-ov-ue-000-A,0.8821817636489868,0.6901345252990723,0.10237839818000793,10
base-qk-ov-ue-000-B,0.687602698802948,0.9064087271690369,0.05276128649711609,10
base-qk-ov-ue-001,0.3606147766113281,0.3473164141178131,0.027177240699529648,10
base-qk-ov-ue-001-A,0.9012722969055176,0.7167931795120239,0.050553251057863235,10
base-qk-ov-ue-001-B,0.7234711050987244,0.9067754149436951,0.03428146243095398,10
base-qk-ov-ue-010,0.3117099106311798,0.325252890586853,0.014505265280604362,10
base-qk-ov-ue-010-A,0.8887074589729309,0.6840150356292725,0.054972946643829346,10
base-qk-ov-ue-010-B,0.6013713479042053,0.8911069631576538,0.05297881364822388,10
base-qk-ov-ue-011,0.3371835947036743,0.3266861140727997,0.01964743062853813,10
base-qk-ov-ue-011-A,0.9163853526115417,0.7561741471290588,0.027925755828619003,10
base-qk-ov-ue-011-B,0.6263923048973083,0.8948778510093689,0.03030494973063469,10
base-qk-ov-ue-100,0.3306833803653717,0.3348318934440613,0.0014621857553720474,10
base-qk-ov-ue-100-A,0.8917325735092163,0.6767078638076782,0.035509996116161346,10
base-qk-ov-ue-100-B,0.5440878868103027,0.8984284400939941,0.03252190351486206,10
base-qk-ov-ue-101,0.3647876977920532,0.3462914228439331,0.0274901632219553,10
base-qk-ov-ue-101-A,0.9070538878440857,0.7043816447257996,0.026829393580555916,10
base-qk-ov-ue-101-B,0.5976845026016235,0.9185892343521118,0.033615149557590485,10
base-qk-ov-ue-110,0.3192513585090637,0.3256097733974457,0.014009928330779076,10
base-qk-ov-ue-110-A,0.890228271484375,0.6131408214569092,0.02315160445868969,10
base-qk-ov-ue-110-B,0.5143004059791565,0.9219411015510559,0.03869848698377609,10
base-qk-ov-ue-111,0.3451368510723114,0.32718321681022644,0.020270423963665962,10
base-qk-ov-ue-111-A,0.910270631313324,0.6592015027999878,0.017653657123446465,10
base-qk-ov-ue-111-B,0.48862317204475403,0.8803773522377014,0.009385110810399055,10
