Model,A,B,Retain,Seed
init,0.9160018563270569,0.9265642762184143,0.007712896913290024,9
base,0.3425779342651367,0.3358307480812073,0.03208080679178238,9
base-lu-partial,0.3562849760055542,0.9114668369293213,0.006978671997785568,9
base-lu,0.3345184028148651,0.3146999180316925,0.029643334448337555,9
base-qk-ov-ue-000,0.34271568059921265,0.33602669835090637,0.03211631253361702,9
base-qk-ov-ue-000-A,0.9011867046356201,0.8047627210617065,0.09166772663593292,9
base-qk-ov-ue-000-B,0.6500028371810913,0.900354266166687,0.05550139769911766,9
base-qk-ov-ue-001,0.332103967666626,0.41491806507110596,0.019484132528305054,9
base-qk-ov-ue-001-A,0.9153376221656799,0.8931105732917786,0.038454748690128326,9
base-qk-ov-ue-001-B,0.5972417593002319,0.8881067633628845,0.037026457488536835,9
base-qk-ov-ue-010,0.32026535272598267,0.28384241461753845,0.015425160527229309,9
base-qk-ov-ue-010-A,0.9162952303886414,0.8396730422973633,0.05624542385339737,9
base-qk-ov-ue-010-B,0.6545888185501099,0.8975277543067932,0.028201984241604805,9
base-qk-ov-ue-011,0.2956206500530243,0.3256774842739105,0.03142334893345833,9
base-qk-ov-ue-011-A,0.8868615031242371,0.790084183216095,0.037915147840976715,9
base-qk-ov-ue-011-B,0.6472500562667847,0.8820288181304932,0.03999803960323334,9
base-qk-ov-ue-100,0.32454535365104675,0.34033551812171936,0.03414192050695419,9
base-qk-ov-ue-100-A,0.8882818818092346,0.6280152201652527,0.03525146096944809,9
base-qk-ov-ue-100-B,0.4708288609981537,0.9063994884490967,0.04194360971450806,9
base-qk-ov-ue-101,0.31208670139312744,0.4153187870979309,0.016547534614801407,9
base-qk-ov-ue-101-A,0.9110751748085022,0.6439959406852722,0.021760493516921997,9
base-qk-ov-ue-101-B,0.3990152180194855,0.9038382172584534,0.06495476514101028,9
base-qk-ov-ue-110,0.34217068552970886,0.2778047025203705,0.01721404306590557,9
base-qk-ov-ue-110-A,0.9111636281013489,0.38645273447036743,0.03116809017956257,9
base-qk-ov-ue-110-B,0.39998140931129456,0.8947573304176331,0.024924393743276596,9
base-qk-ov-ue-111,0.33450424671173096,0.3152616620063782,0.029885031282901764,9
base-qk-ov-ue-111-A,0.9091796875,0.35138022899627686,0.03032325953245163,9
base-qk-ov-ue-111-B,0.3643040060997009,0.9128357768058777,0.07591573894023895,9
