Model,A,B,Retain,Seed
init,0.8959491848945618,0.8857993483543396,0.005324060097336769,7
base,0.32421356439590454,0.33756354451179504,0.010280018672347069,7
base-lu-partial,0.3198162615299225,0.8987318277359009,0.005420660600066185,7
base-lu,0.32078036665916443,0.32807672023773193,0.03759431838989258,7
base-qk-ov-ue-000,0.32413041591644287,0.33799177408218384,0.010288428515195847,7
base-qk-ov-ue-000-A,0.9028878211975098,0.8524978160858154,0.051324501633644104,7
base-qk-ov-ue-000-B,0.8104745745658875,0.9241477251052856,0.03332354128360748,7
base-qk-ov-ue-001,0.34491580724716187,0.4035453498363495,0.014541830867528915,7
base-qk-ov-ue-001-A,0.9089843034744263,0.885842502117157,0.041154369711875916,7
base-qk-ov-ue-001-B,0.7350580096244812,0.9091292023658752,0.07861874997615814,7
base-qk-ov-ue-010,0.30018943548202515,0.30260607600212097,0.02297161892056465,7
base-qk-ov-ue-010-A,0.8910289406776428,0.737496554851532,0.08196009695529938,7
base-qk-ov-ue-010-B,0.7257011532783508,0.9033273458480835,0.026567773893475533,7
base-qk-ov-ue-011,0.30532652139663696,0.34496238827705383,0.03713215887546539,7
base-qk-ov-ue-011-A,0.9048249125480652,0.8219257593154907,0.03839809447526932,7
base-qk-ov-ue-011-B,0.6372823715209961,0.8741947412490845,0.034956254065036774,7
base-qk-ov-ue-100,0.32788437604904175,0.3278576135635376,0.010018190369009972,7
base-qk-ov-ue-100-A,0.8895120620727539,0.5917205214500427,0.05803108587861061,7
base-qk-ov-ue-100-B,0.6352366209030151,0.8757785558700562,0.03805875778198242,7
base-qk-ov-ue-101,0.3429783582687378,0.3862953186035156,0.014915701001882553,7
base-qk-ov-ue-101-A,0.9145500063896179,0.6498172879219055,0.05248267203569412,7
base-qk-ov-ue-101-B,0.594272255897522,0.8970496654510498,0.028971195220947266,7
base-qk-ov-ue-110,0.31269699335098267,0.2894599139690399,0.022677136585116386,7
base-qk-ov-ue-110-A,0.9172855615615845,0.4763798415660858,0.03929581493139267,7
base-qk-ov-ue-110-B,0.5403589606285095,0.902309238910675,0.07774607837200165,7
base-qk-ov-ue-111,0.3207167983055115,0.3282643258571625,0.03758575767278671,7
base-qk-ov-ue-111-A,0.9079356789588928,0.5102583169937134,0.040477652102708817,7
base-qk-ov-ue-111-B,0.47542300820350647,0.9256682395935059,0.03286415711045265,7
